Token	POS-Tag	OOV	Id	Index	__next__	Granularidade	Documento
chover	VERB	1	1	10	11	0	Depois de 20 dias de tempo seco , voltou a chover na capital paulista . A forte chuva em São Paulo complicava o trânsito na manhã desta segunda-feira , 16 , e fez com que o Centro de Gerenciamento de Emergência ( CGE ) da Prefeitura colocasse a cidade em estado de atenção . Até 9h30 m foram registrados oito pontos de alagamento , dois deles intransitáveis - na Marginal Pinheiros , na altura da Ponte João Dias , e na Marginal Tietê , no acesso à Rodovia dos Bandeirantes . Às 9 horas , a cidade tinha 113 km de lentidão , sendo que a média para o horário é de 82 km , segundo a Companhia de Engenharia de Tráfego ( CET ) .
na	ADP	0	1	11	12	0	Depois de 20 dias de tempo seco , voltou a chover na capital paulista . A forte chuva em São Paulo complicava o trânsito na manhã desta segunda-feira , 16 , e fez com que o Centro de Gerenciamento de Emergência ( CGE ) da Prefeitura colocasse a cidade em estado de atenção . Até 9h30 m foram registrados oito pontos de alagamento , dois deles intransitáveis - na Marginal Pinheiros , na altura da Ponte João Dias , e na Marginal Tietê , no acesso à Rodovia dos Bandeirantes . Às 9 horas , a cidade tinha 113 km de lentidão , sendo que a média para o horário é de 82 km , segundo a Companhia de Engenharia de Tráfego ( CET ) .
capital	NOUN	0	1	12	13	0	Depois de 20 dias de tempo seco , voltou a chover na capital paulista . A forte chuva em São Paulo complicava o trânsito na manhã desta segunda-feira , 16 , e fez com que o Centro de Gerenciamento de Emergência ( CGE ) da Prefeitura colocasse a cidade em estado de atenção . Até 9h30 m foram registrados oito pontos de alagamento , dois deles intransitáveis - na Marginal Pinheiros , na altura da Ponte João Dias , e na Marginal Tietê , no acesso à Rodovia dos Bandeirantes . Às 9 horas , a cidade tinha 113 km de lentidão , sendo que a média para o horário é de 82 km , segundo a Companhia de Engenharia de Tráfego ( CET ) .
paulista	ADJ	0	1	13	14	0	Depois de 20 dias de tempo seco , voltou a chover na capital paulista . A forte chuva em São Paulo complicava o trânsito na manhã desta segunda-feira , 16 , e fez com que o Centro de Gerenciamento de Emergência ( CGE ) da Prefeitura colocasse a cidade em estado de atenção . Até 9h30 m foram registrados oito pontos de alagamento , dois deles intransitáveis - na Marginal Pinheiros , na altura da Ponte João Dias , e na Marginal Tietê , no acesso à Rodovia dos Bandeirantes . Às 9 horas , a cidade tinha 113 km de lentidão , sendo que a média para o horário é de 82 km , segundo a Companhia de Engenharia de Tráfego ( CET ) .
.	PUNCT	0	1	14	15	0	Depois de 20 dias de tempo seco , voltou a chover na capital paulista . A forte chuva em São Paulo complicava o trânsito na manhã desta segunda-feira , 16 , e fez com que o Centro de Gerenciamento de Emergência ( CGE ) da Prefeitura colocasse a cidade em estado de atenção . Até 9h30 m foram registrados oito pontos de alagamento , dois deles intransitáveis - na Marginal Pinheiros , na altura da Ponte João Dias , e na Marginal Tietê , no acesso à Rodovia dos Bandeirantes . Às 9 horas , a cidade tinha 113 km de lentidão , sendo que a média para o horário é de 82 km , segundo a Companhia de Engenharia de Tráfego ( CET ) .
A	DET	0	1	15	16	0	Depois de 20 dias de tempo seco , voltou a chover na capital paulista . A forte chuva em São Paulo complicava o trânsito na manhã desta segunda-feira , 16 , e fez com que o Centro de Gerenciamento de Emergência ( CGE ) da Prefeitura colocasse a cidade em estado de atenção . Até 9h30 m foram registrados oito pontos de alagamento , dois deles intransitáveis - na Marginal Pinheiros , na altura da Ponte João Dias , e na Marginal Tietê , no acesso à Rodovia dos Bandeirantes . Às 9 horas , a cidade tinha 113 km de lentidão , sendo que a média para o horário é de 82 km , segundo a Companhia de Engenharia de Tráfego ( CET ) .
forte	ADJ	0	1	16	17	0	Depois de 20 dias de tempo seco , voltou a chover na capital paulista . A forte chuva em São Paulo complicava o trânsito na manhã desta segunda-feira , 16 , e fez com que o Centro de Gerenciamento de Emergência ( CGE ) da Prefeitura colocasse a cidade em estado de atenção . Até 9h30 m foram registrados oito pontos de alagamento , dois deles intransitáveis - na Marginal Pinheiros , na altura da Ponte João Dias , e na Marginal Tietê , no acesso à Rodovia dos Bandeirantes . Às 9 horas , a cidade tinha 113 km de lentidão , sendo que a média para o horário é de 82 km , segundo a Companhia de Engenharia de Tráfego ( CET ) .
chuva	NOUN	0	1	17	18	0	Depois de 20 dias de tempo seco , voltou a chover na capital paulista . A forte chuva em São Paulo complicava o trânsito na manhã desta segunda-feira , 16 , e fez com que o Centro de Gerenciamento de Emergência ( CGE ) da Prefeitura colocasse a cidade em estado de atenção . Até 9h30 m foram registrados oito pontos de alagamento , dois deles intransitáveis - na Marginal Pinheiros , na altura da Ponte João Dias , e na Marginal Tietê , no acesso à Rodovia dos Bandeirantes . Às 9 horas , a cidade tinha 113 km de lentidão , sendo que a média para o horário é de 82 km , segundo a Companhia de Engenharia de Tráfego ( CET ) .
em	ADP	0	1	18	19	0	Depois de 20 dias de tempo seco , voltou a chover na capital paulista . A forte chuva em São Paulo complicava o trânsito na manhã desta segunda-feira , 16 , e fez com que o Centro de Gerenciamento de Emergência ( CGE ) da Prefeitura colocasse a cidade em estado de atenção . Até 9h30 m foram registrados oito pontos de alagamento , dois deles intransitáveis - na Marginal Pinheiros , na altura da Ponte João Dias , e na Marginal Tietê , no acesso à Rodovia dos Bandeirantes . Às 9 horas , a cidade tinha 113 km de lentidão , sendo que a média para o horário é de 82 km , segundo a Companhia de Engenharia de Tráfego ( CET ) .
São	PROPN	0	1	19	20	0	Depois de 20 dias de tempo seco , voltou a chover na capital paulista . A forte chuva em São Paulo complicava o trânsito na manhã desta segunda-feira , 16 , e fez com que o Centro de Gerenciamento de Emergência ( CGE ) da Prefeitura colocasse a cidade em estado de atenção . Até 9h30 m foram registrados oito pontos de alagamento , dois deles intransitáveis - na Marginal Pinheiros , na altura da Ponte João Dias , e na Marginal Tietê , no acesso à Rodovia dos Bandeirantes . Às 9 horas , a cidade tinha 113 km de lentidão , sendo que a média para o horário é de 82 km , segundo a Companhia de Engenharia de Tráfego ( CET ) .
Paulo	PROPN	0	1	20	21	0	Depois de 20 dias de tempo seco , voltou a chover na capital paulista . A forte chuva em São Paulo complicava o trânsito na manhã desta segunda-feira , 16 , e fez com que o Centro de Gerenciamento de Emergência ( CGE ) da Prefeitura colocasse a cidade em estado de atenção . Até 9h30 m foram registrados oito pontos de alagamento , dois deles intransitáveis - na Marginal Pinheiros , na altura da Ponte João Dias , e na Marginal Tietê , no acesso à Rodovia dos Bandeirantes . Às 9 horas , a cidade tinha 113 km de lentidão , sendo que a média para o horário é de 82 km , segundo a Companhia de Engenharia de Tráfego ( CET ) .
complicava	VERB	1	1	21	22	0	Depois de 20 dias de tempo seco , voltou a chover na capital paulista . A forte chuva em São Paulo complicava o trânsito na manhã desta segunda-feira , 16 , e fez com que o Centro de Gerenciamento de Emergência ( CGE ) da Prefeitura colocasse a cidade em estado de atenção . Até 9h30 m foram registrados oito pontos de alagamento , dois deles intransitáveis - na Marginal Pinheiros , na altura da Ponte João Dias , e na Marginal Tietê , no acesso à Rodovia dos Bandeirantes . Às 9 horas , a cidade tinha 113 km de lentidão , sendo que a média para o horário é de 82 km , segundo a Companhia de Engenharia de Tráfego ( CET ) .
o	DET	0	1	22	23	0	Depois de 20 dias de tempo seco , voltou a chover na capital paulista . A forte chuva em São Paulo complicava o trânsito na manhã desta segunda-feira , 16 , e fez com que o Centro de Gerenciamento de Emergência ( CGE ) da Prefeitura colocasse a cidade em estado de atenção . Até 9h30 m foram registrados oito pontos de alagamento , dois deles intransitáveis - na Marginal Pinheiros , na altura da Ponte João Dias , e na Marginal Tietê , no acesso à Rodovia dos Bandeirantes . Às 9 horas , a cidade tinha 113 km de lentidão , sendo que a média para o horário é de 82 km , segundo a Companhia de Engenharia de Tráfego ( CET ) .
trânsito	NOUN	0	1	23	24	0	Depois de 20 dias de tempo seco , voltou a chover na capital paulista . A forte chuva em São Paulo complicava o trânsito na manhã desta segunda-feira , 16 , e fez com que o Centro de Gerenciamento de Emergência ( CGE ) da Prefeitura colocasse a cidade em estado de atenção . Até 9h30 m foram registrados oito pontos de alagamento , dois deles intransitáveis - na Marginal Pinheiros , na altura da Ponte João Dias , e na Marginal Tietê , no acesso à Rodovia dos Bandeirantes . Às 9 horas , a cidade tinha 113 km de lentidão , sendo que a média para o horário é de 82 km , segundo a Companhia de Engenharia de Tráfego ( CET ) .
na	ADP	0	1	24	25	0	Depois de 20 dias de tempo seco , voltou a chover na capital paulista . A forte chuva em São Paulo complicava o trânsito na manhã desta segunda-feira , 16 , e fez com que o Centro de Gerenciamento de Emergência ( CGE ) da Prefeitura colocasse a cidade em estado de atenção . Até 9h30 m foram registrados oito pontos de alagamento , dois deles intransitáveis - na Marginal Pinheiros , na altura da Ponte João Dias , e na Marginal Tietê , no acesso à Rodovia dos Bandeirantes . Às 9 horas , a cidade tinha 113 km de lentidão , sendo que a média para o horário é de 82 km , segundo a Companhia de Engenharia de Tráfego ( CET ) .
manhã	NOUN	0	1	25	26	0	Depois de 20 dias de tempo seco , voltou a chover na capital paulista . A forte chuva em São Paulo complicava o trânsito na manhã desta segunda-feira , 16 , e fez com que o Centro de Gerenciamento de Emergência ( CGE ) da Prefeitura colocasse a cidade em estado de atenção . Até 9h30 m foram registrados oito pontos de alagamento , dois deles intransitáveis - na Marginal Pinheiros , na altura da Ponte João Dias , e na Marginal Tietê , no acesso à Rodovia dos Bandeirantes . Às 9 horas , a cidade tinha 113 km de lentidão , sendo que a média para o horário é de 82 km , segundo a Companhia de Engenharia de Tráfego ( CET ) .
desta	ADP	0	1	26	27	0	Depois de 20 dias de tempo seco , voltou a chover na capital paulista . A forte chuva em São Paulo complicava o trânsito na manhã desta segunda-feira , 16 , e fez com que o Centro de Gerenciamento de Emergência ( CGE ) da Prefeitura colocasse a cidade em estado de atenção . Até 9h30 m foram registrados oito pontos de alagamento , dois deles intransitáveis - na Marginal Pinheiros , na altura da Ponte João Dias , e na Marginal Tietê , no acesso à Rodovia dos Bandeirantes . Às 9 horas , a cidade tinha 113 km de lentidão , sendo que a média para o horário é de 82 km , segundo a Companhia de Engenharia de Tráfego ( CET ) .
segunda-feira	NOUN	1	1	27	28	0	Depois de 20 dias de tempo seco , voltou a chover na capital paulista . A forte chuva em São Paulo complicava o trânsito na manhã desta segunda-feira , 16 , e fez com que o Centro de Gerenciamento de Emergência ( CGE ) da Prefeitura colocasse a cidade em estado de atenção . Até 9h30 m foram registrados oito pontos de alagamento , dois deles intransitáveis - na Marginal Pinheiros , na altura da Ponte João Dias , e na Marginal Tietê , no acesso à Rodovia dos Bandeirantes . Às 9 horas , a cidade tinha 113 km de lentidão , sendo que a média para o horário é de 82 km , segundo a Companhia de Engenharia de Tráfego ( CET ) .
,	PUNCT	0	1	28	29	0	Depois de 20 dias de tempo seco , voltou a chover na capital paulista . A forte chuva em São Paulo complicava o trânsito na manhã desta segunda-feira , 16 , e fez com que o Centro de Gerenciamento de Emergência ( CGE ) da Prefeitura colocasse a cidade em estado de atenção . Até 9h30 m foram registrados oito pontos de alagamento , dois deles intransitáveis - na Marginal Pinheiros , na altura da Ponte João Dias , e na Marginal Tietê , no acesso à Rodovia dos Bandeirantes . Às 9 horas , a cidade tinha 113 km de lentidão , sendo que a média para o horário é de 82 km , segundo a Companhia de Engenharia de Tráfego ( CET ) .
16	NUM	0	1	29	30	0	Depois de 20 dias de tempo seco , voltou a chover na capital paulista . A forte chuva em São Paulo complicava o trânsito na manhã desta segunda-feira , 16 , e fez com que o Centro de Gerenciamento de Emergência ( CGE ) da Prefeitura colocasse a cidade em estado de atenção . Até 9h30 m foram registrados oito pontos de alagamento , dois deles intransitáveis - na Marginal Pinheiros , na altura da Ponte João Dias , e na Marginal Tietê , no acesso à Rodovia dos Bandeirantes . Às 9 horas , a cidade tinha 113 km de lentidão , sendo que a média para o horário é de 82 km , segundo a Companhia de Engenharia de Tráfego ( CET ) .
,	PUNCT	0	1	30	31	0	Depois de 20 dias de tempo seco , voltou a chover na capital paulista . A forte chuva em São Paulo complicava o trânsito na manhã desta segunda-feira , 16 , e fez com que o Centro de Gerenciamento de Emergência ( CGE ) da Prefeitura colocasse a cidade em estado de atenção . Até 9h30 m foram registrados oito pontos de alagamento , dois deles intransitáveis - na Marginal Pinheiros , na altura da Ponte João Dias , e na Marginal Tietê , no acesso à Rodovia dos Bandeirantes . Às 9 horas , a cidade tinha 113 km de lentidão , sendo que a média para o horário é de 82 km , segundo a Companhia de Engenharia de Tráfego ( CET ) .
e	CCONJ	0	1	31	32	0	Depois de 20 dias de tempo seco , voltou a chover na capital paulista . A forte chuva em São Paulo complicava o trânsito na manhã desta segunda-feira , 16 , e fez com que o Centro de Gerenciamento de Emergência ( CGE ) da Prefeitura colocasse a cidade em estado de atenção . Até 9h30 m foram registrados oito pontos de alagamento , dois deles intransitáveis - na Marginal Pinheiros , na altura da Ponte João Dias , e na Marginal Tietê , no acesso à Rodovia dos Bandeirantes . Às 9 horas , a cidade tinha 113 km de lentidão , sendo que a média para o horário é de 82 km , segundo a Companhia de Engenharia de Tráfego ( CET ) .
fez	VERB	0	1	32	33	0	Depois de 20 dias de tempo seco , voltou a chover na capital paulista . A forte chuva em São Paulo complicava o trânsito na manhã desta segunda-feira , 16 , e fez com que o Centro de Gerenciamento de Emergência ( CGE ) da Prefeitura colocasse a cidade em estado de atenção . Até 9h30 m foram registrados oito pontos de alagamento , dois deles intransitáveis - na Marginal Pinheiros , na altura da Ponte João Dias , e na Marginal Tietê , no acesso à Rodovia dos Bandeirantes . Às 9 horas , a cidade tinha 113 km de lentidão , sendo que a média para o horário é de 82 km , segundo a Companhia de Engenharia de Tráfego ( CET ) .
com	SCONJ	0	1	33	34	0	Depois de 20 dias de tempo seco , voltou a chover na capital paulista . A forte chuva em São Paulo complicava o trânsito na manhã desta segunda-feira , 16 , e fez com que o Centro de Gerenciamento de Emergência ( CGE ) da Prefeitura colocasse a cidade em estado de atenção . Até 9h30 m foram registrados oito pontos de alagamento , dois deles intransitáveis - na Marginal Pinheiros , na altura da Ponte João Dias , e na Marginal Tietê , no acesso à Rodovia dos Bandeirantes . Às 9 horas , a cidade tinha 113 km de lentidão , sendo que a média para o horário é de 82 km , segundo a Companhia de Engenharia de Tráfego ( CET ) .
que	SCONJ	0	1	34	35	0	Depois de 20 dias de tempo seco , voltou a chover na capital paulista . A forte chuva em São Paulo complicava o trânsito na manhã desta segunda-feira , 16 , e fez com que o Centro de Gerenciamento de Emergência ( CGE ) da Prefeitura colocasse a cidade em estado de atenção . Até 9h30 m foram registrados oito pontos de alagamento , dois deles intransitáveis - na Marginal Pinheiros , na altura da Ponte João Dias , e na Marginal Tietê , no acesso à Rodovia dos Bandeirantes . Às 9 horas , a cidade tinha 113 km de lentidão , sendo que a média para o horário é de 82 km , segundo a Companhia de Engenharia de Tráfego ( CET ) .
o	DET	0	1	35	36	0	Depois de 20 dias de tempo seco , voltou a chover na capital paulista . A forte chuva em São Paulo complicava o trânsito na manhã desta segunda-feira , 16 , e fez com que o Centro de Gerenciamento de Emergência ( CGE ) da Prefeitura colocasse a cidade em estado de atenção . Até 9h30 m foram registrados oito pontos de alagamento , dois deles intransitáveis - na Marginal Pinheiros , na altura da Ponte João Dias , e na Marginal Tietê , no acesso à Rodovia dos Bandeirantes . Às 9 horas , a cidade tinha 113 km de lentidão , sendo que a média para o horário é de 82 km , segundo a Companhia de Engenharia de Tráfego ( CET ) .
Centro	PROPN	0	1	36	37	0	Depois de 20 dias de tempo seco , voltou a chover na capital paulista . A forte chuva em São Paulo complicava o trânsito na manhã desta segunda-feira , 16 , e fez com que o Centro de Gerenciamento de Emergência ( CGE ) da Prefeitura colocasse a cidade em estado de atenção . Até 9h30 m foram registrados oito pontos de alagamento , dois deles intransitáveis - na Marginal Pinheiros , na altura da Ponte João Dias , e na Marginal Tietê , no acesso à Rodovia dos Bandeirantes . Às 9 horas , a cidade tinha 113 km de lentidão , sendo que a média para o horário é de 82 km , segundo a Companhia de Engenharia de Tráfego ( CET ) .
de	ADP	0	1	37	38	0	Depois de 20 dias de tempo seco , voltou a chover na capital paulista . A forte chuva em São Paulo complicava o trânsito na manhã desta segunda-feira , 16 , e fez com que o Centro de Gerenciamento de Emergência ( CGE ) da Prefeitura colocasse a cidade em estado de atenção . Até 9h30 m foram registrados oito pontos de alagamento , dois deles intransitáveis - na Marginal Pinheiros , na altura da Ponte João Dias , e na Marginal Tietê , no acesso à Rodovia dos Bandeirantes . Às 9 horas , a cidade tinha 113 km de lentidão , sendo que a média para o horário é de 82 km , segundo a Companhia de Engenharia de Tráfego ( CET ) .
Gerenciamento	PROPN	1	1	38	39	0	Depois de 20 dias de tempo seco , voltou a chover na capital paulista . A forte chuva em São Paulo complicava o trânsito na manhã desta segunda-feira , 16 , e fez com que o Centro de Gerenciamento de Emergência ( CGE ) da Prefeitura colocasse a cidade em estado de atenção . Até 9h30 m foram registrados oito pontos de alagamento , dois deles intransitáveis - na Marginal Pinheiros , na altura da Ponte João Dias , e na Marginal Tietê , no acesso à Rodovia dos Bandeirantes . Às 9 horas , a cidade tinha 113 km de lentidão , sendo que a média para o horário é de 82 km , segundo a Companhia de Engenharia de Tráfego ( CET ) .
de	ADP	0	1	39	40	0	Depois de 20 dias de tempo seco , voltou a chover na capital paulista . A forte chuva em São Paulo complicava o trânsito na manhã desta segunda-feira , 16 , e fez com que o Centro de Gerenciamento de Emergência ( CGE ) da Prefeitura colocasse a cidade em estado de atenção . Até 9h30 m foram registrados oito pontos de alagamento , dois deles intransitáveis - na Marginal Pinheiros , na altura da Ponte João Dias , e na Marginal Tietê , no acesso à Rodovia dos Bandeirantes . Às 9 horas , a cidade tinha 113 km de lentidão , sendo que a média para o horário é de 82 km , segundo a Companhia de Engenharia de Tráfego ( CET ) .
Emergência	PROPN	1	1	40	41	0	Depois de 20 dias de tempo seco , voltou a chover na capital paulista . A forte chuva em São Paulo complicava o trânsito na manhã desta segunda-feira , 16 , e fez com que o Centro de Gerenciamento de Emergência ( CGE ) da Prefeitura colocasse a cidade em estado de atenção . Até 9h30 m foram registrados oito pontos de alagamento , dois deles intransitáveis - na Marginal Pinheiros , na altura da Ponte João Dias , e na Marginal Tietê , no acesso à Rodovia dos Bandeirantes . Às 9 horas , a cidade tinha 113 km de lentidão , sendo que a média para o horário é de 82 km , segundo a Companhia de Engenharia de Tráfego ( CET ) .
(	PUNCT	0	1	41	42	0	Depois de 20 dias de tempo seco , voltou a chover na capital paulista . A forte chuva em São Paulo complicava o trânsito na manhã desta segunda-feira , 16 , e fez com que o Centro de Gerenciamento de Emergência ( CGE ) da Prefeitura colocasse a cidade em estado de atenção . Até 9h30 m foram registrados oito pontos de alagamento , dois deles intransitáveis - na Marginal Pinheiros , na altura da Ponte João Dias , e na Marginal Tietê , no acesso à Rodovia dos Bandeirantes . Às 9 horas , a cidade tinha 113 km de lentidão , sendo que a média para o horário é de 82 km , segundo a Companhia de Engenharia de Tráfego ( CET ) .
CGE	PROPN	1	1	42	43	0	Depois de 20 dias de tempo seco , voltou a chover na capital paulista . A forte chuva em São Paulo complicava o trânsito na manhã desta segunda-feira , 16 , e fez com que o Centro de Gerenciamento de Emergência ( CGE ) da Prefeitura colocasse a cidade em estado de atenção . Até 9h30 m foram registrados oito pontos de alagamento , dois deles intransitáveis - na Marginal Pinheiros , na altura da Ponte João Dias , e na Marginal Tietê , no acesso à Rodovia dos Bandeirantes . Às 9 horas , a cidade tinha 113 km de lentidão , sendo que a média para o horário é de 82 km , segundo a Companhia de Engenharia de Tráfego ( CET ) .
)	PUNCT	0	1	43	44	0	Depois de 20 dias de tempo seco , voltou a chover na capital paulista . A forte chuva em São Paulo complicava o trânsito na manhã desta segunda-feira , 16 , e fez com que o Centro de Gerenciamento de Emergência ( CGE ) da Prefeitura colocasse a cidade em estado de atenção . Até 9h30 m foram registrados oito pontos de alagamento , dois deles intransitáveis - na Marginal Pinheiros , na altura da Ponte João Dias , e na Marginal Tietê , no acesso à Rodovia dos Bandeirantes . Às 9 horas , a cidade tinha 113 km de lentidão , sendo que a média para o horário é de 82 km , segundo a Companhia de Engenharia de Tráfego ( CET ) .
da	ADP	0	1	44	45	0	Depois de 20 dias de tempo seco , voltou a chover na capital paulista . A forte chuva em São Paulo complicava o trânsito na manhã desta segunda-feira , 16 , e fez com que o Centro de Gerenciamento de Emergência ( CGE ) da Prefeitura colocasse a cidade em estado de atenção . Até 9h30 m foram registrados oito pontos de alagamento , dois deles intransitáveis - na Marginal Pinheiros , na altura da Ponte João Dias , e na Marginal Tietê , no acesso à Rodovia dos Bandeirantes . Às 9 horas , a cidade tinha 113 km de lentidão , sendo que a média para o horário é de 82 km , segundo a Companhia de Engenharia de Tráfego ( CET ) .
Prefeitura	NOUN	0	1	45	46	0	Depois de 20 dias de tempo seco , voltou a chover na capital paulista . A forte chuva em São Paulo complicava o trânsito na manhã desta segunda-feira , 16 , e fez com que o Centro de Gerenciamento de Emergência ( CGE ) da Prefeitura colocasse a cidade em estado de atenção . Até 9h30 m foram registrados oito pontos de alagamento , dois deles intransitáveis - na Marginal Pinheiros , na altura da Ponte João Dias , e na Marginal Tietê , no acesso à Rodovia dos Bandeirantes . Às 9 horas , a cidade tinha 113 km de lentidão , sendo que a média para o horário é de 82 km , segundo a Companhia de Engenharia de Tráfego ( CET ) .
